1,4,4,39,12,77250,2940,2,married,26.2755102,,,,
2,4,6,35,12,12000,2040,2,divorced,5.882352941,,,,
3,4,7,33,12,8000,693,1,married,11.54401154,,,,
4,4,173,39,10,15000,1904,2,married,7.878151261,,,,
5,5,2,47,9,6500,1683,5,married,3.862150921,,,,
6,6,4,44,12,6500,2024,2,married,3.211462451,,,,
7,6,172,38,16,7000,1144,3,married,6.118881119,,,,
8,7,4,38,9,5000,2080,4,divorced,2.403846154,,,,s
9,7,170,39,12,21000,2575,3,married,8.155339806,,,,
10,7,171,37,11,0,0,5,married,0,,,,
12,10,171,47,12,22000,1920,3,married,11.45833333,,,,
13,10,178,40,12,0,0,0,separated,0,,,,
14,11,171,38,16,12143,585,0,married,20.75726496,,,,
15,13,3,41,12,0,0,2,married,0,,,,
16,13,4,43,15,30000,1504,0,never married,19.94680851,,,,
17,14,2,41,16,13000,1560,0,never married,8.333333333,,,,
18,14,3,36,14,24000,1701,1,married,14.10934744,,,,
19,16,3,31,10,0,0,2,married,0,,,,
20,18,170,38,12,0,0,2,married,0,,,,
21,18,172,39,12,11250,968,3,married,11.62190083,,,,
22,18,173,45,12,0,0,3,married,0,,,,
23,18,177,44,17,8500,972,2,married,8.744855967,,,,
24,22,3,36,12,22883,1523,1,married,15.02495076,,,,
25,23,3,43,17,34500,2125,2,divorced,16.23529412,,,,
26,23,172,39,12,5100,425,4,married,12,,,,
27,39,2,45,16,8000,1736,2,married,4.608294931,,,,
28,40,4,31,12,4000,260,3,married,15.38461538,,,,
29,40,5,31,12,31000,2925,0,widowed,10.5982906,,,,
30,40,170,32,12,12000,1175,3,married,10.21276596,,,,
31,41,5,34,10,0,0,2,married,0,,,,
32,41,7,32,14,12000,1624,2,married,7.389162562,,,,
33,41,170,38,12,12000,1916,2,married,6.263048017,,,,
34,41,179,34,12,6800,800,2,married,8.5,,,,
35,45,3,37,8,13000,2040,2,married,6.37254902,,,,
36,47,4,32,15,12000,2064,2,married,5.813953488,,,,
37,50,5,31,17,44000,1960,1,married,22.44897959,,,,
38,50,171,32,16,17000,1864,2,married,9.120171674,,,,
39,50,172,31,13,3218,480,3,divorced,6.704166667,,,,
40,51,2,50,12,8000,1610,1,married,4.968944099,,,,
41,53,4,34,12,15000,2040,3,married,7.352941176,,,,
42,53,6,33,12,9000,1440,1,married,6.25,,,,
43,53,170,33,12,0,0,3,married,0,,,,
44,53,183,41,0,0,0,1,divorced,0,,,,
46,53,190,43,12,10000,1700,2,married,5.882352941,,,,
47,57,3,35,10,0,0,2,widowed,0,,,,
48,60,2,46,12,2500,520,2,married,4.807692308,,,,
49,60,170,44,12,30000,2024,3,divorced,14.82213439,,,,
50,60,174,49,15,30000,2286,2,married,13.12335958,,,,
51,60,177,42,12,20600,1976,2,married,10.42510121,,,,
52,61,5,36,17,8100,474,3,married,17.08860759,,,,
53,61,170,41,17,33059,1495,2,married,22.11304348,,,,
54,63,3,44,15,15000,1120,0,divorced,13.39285714,,,,
55,75,5,31,14,12700,1510,0,never married,8.410596026,,,,
56,79,3,39,15,19000,2256,3,divorced,8.421985816,,,,
57,80,3,37,17,50000,2331,0,never married,21.45002145,,,,
58,84,4,35,12,0,0,0,married,0,,,,
59,84,170,35,12,0,0,3,married,0,,,,
60,84,172,42,16,40000,1880,1,married,21.27659574,,,,
61,84,177,30,13,0,0,3,married,0,,,,
62,85,170,42,14,0,0,2,married,0,,,,
63,87,3,31,11,0,0,3,divorced,0,,,,
64,88,3,41,16,0,0,3,divorced,0,,,,
65,89,3,39,12,30000,1821,2,married,16.47446458,,,,
66,89,4,38,12,17000,2080,2,married,8.173076923,,,,
67,89,5,35,12,21200,2068,2,divorced,10.25145068,,,,
68,89,6,30,12,21645,1945,0,never married,11.1285347,,,,
69,90,3,31,16,24000,1560,0,married,15.38461538,,,,
70,90,173,48,16,26000,1680,2,married,15.47619048,,,,
71,96,3,34,12,0,0,3,married,0,,,,
73,98,1,45,16,25000,1871,0,never married,13.36183859,,,,
74,99,1,46,16,29000,1533,2,married,18.9171559,,,,
75,100,1,45,14,10040,2048,0,married,4.90234375,,,,
76,105,4,34,10,3678,466,4,divorced,7.892703863,,,,
77,105,5,33,8,410,52,0,never married,7.884615385,,,,
78,113,2,47,13,2700,1092,2,married,2.472527473,,,,
79,114,170,39,13,19000,1750,3,married,10.85714286,,,,
80,114,173,37,12,6000,939,3,married,6.389776358,,,,
81,117,2,43,17,10415,2805,2,married,3.713012478,,,,
